CEP,Logradouro,Complemento,Bairro,Localidade,UF,IBGE,GIA,DDD,SIAFI
88115135,Rua José Roberto da Silva Andreani,,Serraria,São José,SC,4216602,50304,,
88115140,Rua Felisbino Camilo da Silva,até 1635/1636,Serraria,São José,SC,4216602,50304,,
88115142,Rua Henrique Manoel do Nascimento,,Serraria,São José,SC,4216602,50304,,
88115150,Rua Dona Carola,,Serraria,São José,SC,4216602,50304,,
88115153,Rua João Bento dos Santos,,Serraria,São José,SC,4216602,50304,,
88115155,Rua São Fernando,,Serraria,São José,SC,4216602,50304,,
88115158,Rua Manoel Albano do Amaral,,Serraria,São José,SC,4216602,50304,,
88115160,Rua São Benedito,,Serraria,São José,SC,4216602,50304,,
88115163,Rua Maria Oliveira,,Serraria,São José,SC,4216602,50304,,
88115165,Rua Natalino Nascimento,,Serraria,São José,SC,4216602,50304,,
88115170,Rua Vergilino Domingos da Silva,,Serraria,São José,SC,4216602,50304,,
88115171,Rua Otto Steiner Sobrinho,,Serraria,São José,SC,4216602,50304,,
88115172,Rua Augusta Rodrigues Pulceno,,Serraria,São José,SC,4216602,50304,,
88115173,Rua 1º de Setembro,,Serraria,São José,SC,4216602,50304,,
88115174,Rua Antônio Francisco Steiner,,Serraria,São José,SC,4216602,50304,,
88115175,Rua Manoel Domingos do Nascimento,,Serraria,São José,SC,4216602,50304,,
88115180,Rua Manoel Marques Júnior,,Serraria,São José,SC,4216602,50304,,
88115190,Rua Aduci Arbueis do Nascimento,,Serraria,São José,SC,4216602,50304,,
88115200,Rua Wenceslau Evaristo Silva,,Serraria,São José,SC,4216602,50304,,
88115210,Rua César Zuchinalli,,Serraria,São José,SC,4216602,50304,,
88115211,Servidão Tomaz João do Amaral,,Serraria,São José,SC,4216602,50304,,
88115218,Rua Adélia Schröeder Pontes,,Serraria,São José,SC,4216602,50304,,
88115220,Rua Edmundo Otacílio,,Serraria,São José,SC,4216602,50304,,
88115223,Rua Izoel Ribeiro,,Serraria,São José,SC,4216602,50304,,
88115225,Rua João Affonso Firmino,,Serraria,São José,SC,4216602,50304,,
88115230,Rua Vitória,,Serraria,São José,SC,4216602,50304,,
88115233,Rua Aureliano Pires da Silva,,Serraria,São José,SC,4216602,50304,,
88115235,Travessa Nelson Miguel da Silva,,Serraria,São José,SC,4216602,50304,,
88115237,Travessa Francisco João de Souza,,Serraria,São José,SC,4216602,50304,,
88115239,Travessa José Graciliano da Silva,,Serraria,São José,SC,4216602,50304,,
88115240,Travessa Cláudio Hoffmann,,Serraria,São José,SC,4216602,50304,,
88115250,Rua Vereador Pedro Medeiros,,Serraria,São José,SC,4216602,50304,,
88115251,Rua Alda Ribas da Luz,,Serraria,São José,SC,4216602,50304,,
88115252,Rua Francisco Juvêncio Batista,,Serraria,São José,SC,4216602,50304,,
88115253,Rua José Zeferino Cardoso,,Serraria,São José,SC,4216602,50304,,
88115255,Rua Gervásio José de Souza,,Serraria,São José,SC,4216602,50304,,
88115260,Rua Manaus,,Serraria,São José,SC,4216602,50304,,
88115265,Rua Aurelino Manoel da Silva,,Serraria,São José,SC,4216602,50304,,
88115270,Rua Belo Horizonte,,Serraria,São José,SC,4216602,50304,,
88115273,Rua Reynoldo Antônio Baldissera,,Serraria,São José,SC,4216602,50304,,
88115274,Rua Antônio Roggia,,Serraria,São José,SC,4216602,50304,,
88115275,Rua Josefina Borsatto,,Serraria,São José,SC,4216602,50304,,
88115276,Rua Antônio João Vitor,,Serraria,São José,SC,4216602,50304,,
88115277,Rua Maria Degrandis,,Serraria,São José,SC,4216602,50304,,
88115278,Rua José da Silva Leite,,Serraria,São José,SC,4216602,50304,,
88115279,Servidão Francisco Umbelino,,Serraria,São José,SC,4216602,50304,,
88115280,Rua dos Operários,,Serraria,São José,SC,4216602,50304,,
88115285,Servidão Inês Paulina do Amaral,,Serraria,São José,SC,4216602,50304,,
88115350,Rua Léo Augusto da Silva,,Serraria,São José,SC,4216602,50304,,
88115355,Travessa Hercílio José Corrêa,,Serraria,São José,SC,4216602,50304,,
88115360,Rua Itália,,Serraria,São José,SC,4216602,50304,,
88115368,Rua Célio de Oliveira,,Serraria,São José,SC,4216602,50304,,
88115369,Rua Leopoldo Shappo,,Serraria,São José,SC,4216602,50304,,
88115370,Rua Dona Lídia,,Serraria,São José,SC,4216602,50304,,
88115371,Rua Nelson Ferreira,,Serraria,São José,SC,4216602,50304,,
88115372,Rua Sanitária Mendes,,Serraria,São José,SC,4216602,50304,,
88115373,Rua João Vicente Medeiros,,Serraria,São José,SC,4216602,50304,,
88115374,Rua Herondina da Silva Medeiros,,Serraria,São José,SC,4216602,50304,,
88115375,Rua Antônio Gabriel de Souza,,Serraria,São José,SC,4216602,50304,,
88115376,Rua Rosa Maria Martins,,Serraria,São José,SC,4216602,50304,,
88115377,Rua Juvenal Pessoa da Silva,,Serraria,São José,SC,4216602,50304,,
88115378,Rua Raul Michelon da Silva,,Serraria,São José,SC,4216602,50304,,
88115379,Rua Veríssimo Rodrigues Fortuna,,Serraria,São José,SC,4216602,50304,,
88115380,Travessa Manoel Mendes,,Serraria,São José,SC,4216602,50304,,
88115390,Rua Accácio Pinto da Luz,,Serraria,São José,SC,4216602,50304,,
88115400,Rua Nossa Senhora dos Navegantes,,Serraria,São José,SC,4216602,50304,,
88115401,Rua José João da Cunha,de 693/694 ao fim,Serraria,São José,SC,4216602,50304,,
88115403,Servidão Fabrício do Livramento Luz,,Serraria,São José,SC,4216602,50304,,
88115405,Servidão Moraes,,Serraria,São José,SC,4216602,50304,,
88115406,Rua José Hilário Ferreira,,Serraria,São José,SC,4216602,50304,,
88115410,Servidão Rocha,,Serraria,São José,SC,4216602,50304,,
88115480,Rua Pedro Ângelo de Mello,,Serraria,São José,SC,4216602,50304,,
88115485,Rua Beija-Flor,,Serraria,São José,SC,4216602,50304,,
88115490,Rua Marco Antônio Fernandes da Silva,,Serraria,São José,SC,4216602,50304,,
88115495,Rua Canário,,Serraria,São José,SC,4216602,50304,,
88115498,Rua Mário Pian,,Serraria,São José,SC,4216602,50304,,
88115500,Rua Curió,,Serraria,São José,SC,4216602,50304,,
88115505,Rua Gaivota,,Serraria,São José,SC,4216602,50304,,
88115510,Rua Inhambu,,Serraria,São José,SC,4216602,50304,,
88115515,Rua João de Barro,,Serraria,São José,SC,4216602,50304,,
88115520,Rua Papagaio,,Serraria,São José,SC,4216602,50304,,
88115523,Rua Vicente Tomaz Coelho,,Serraria,São José,SC,4216602,50304,,
88115525,Rua Sabiá,,Serraria,São José,SC,4216602,50304,,
88115530,Rua Tico-Tico,,Serraria,São José,SC,4216602,50304,,
88115535,Rua Irineu Pavan,,Serraria,São José,SC,4216602,50304,,
88115544,Rua Nilto Antenor de Souza,,Serraria,São José,SC,4216602,50304,,
88115546,Rua Alceu Andrade de Oliveira,,Serraria,São José,SC,4216602,50304,,
88115547,Rua Josué Orion Neto Capistrano,,Serraria,São José,SC,4216602,50304,,
88115548,Servidão Carolina Julia da Silva,,Serraria,São José,SC,4216602,50304,,
88115549,Servidão Marcelo Ferreira,,Serraria,São José,SC,4216602,50304,,
88115550,Rua Afrísio de Senna Vaz,,Serraria,São José,SC,4216602,50304,,
88115551,Rua Alaesio Idelfonso Rosa,,Serraria,São José,SC,4216602,50304,,
88115553,Rua Gonçalino Cuchinski,,Serraria,São José,SC,4216602,50304,,
88115555,Rua Valentin Heriberto Warmling,,Serraria,São José,SC,4216602,50304,,
88115556,Rua José Francisco Vill,,Serraria,São José,SC,4216602,50304,,
88115558,Rua José Claudio Schmidt,,Serraria,São José,SC,4216602,50304,,
88115559,Rua Eduardo Manoel da Rosa,,Serraria,São José,SC,4216602,50304,,
88115560,Rua Mauricila Ribeiro de Santana Soares,,Serraria,São José,SC,4216602,50304,,
88115561,Rua Pinheiros,,Serraria,São José,SC,4216602,50304,,
88115563,Rua Joaquim Coelho de Arruda,,Serraria,São José,SC,4216602,50304,,
88115566,Rua Caleu Souza dos Santos,,Serraria,São José,SC,4216602,50304,,
88115600,Rua Caxambu,,Serraria,São José,SC,4216602,50304,,
88115602,Rua Dionísio João Amorim,,Serraria,São José,SC,4216602,50304,,
88115610,Rua Vilmar Sales,,Serraria,São José,SC,4216602,50304,,
88115613,Servidão Santo Rodrigues Padilha,,Serraria,São José,SC,4216602,50304,,
88115615,Rua Pedro Jacob Scheidt,,Serraria,São José,SC,4216602,50304,,
88115616,Servidão Edson Nelson Ferreira,,Serraria,São José,SC,4216602,50304,,
88115620,Rua João da Cunha Neto,,Serraria,São José,SC,4216602,50304,,
88115630,Rua Alcebíades Vidal de Souza,,Serraria,São José,SC,4216602,50304,,
88115631,Rua Maria das Dores Alexandre Tavares,,Serraria,São José,SC,4216602,50304,,
88115640,Rua Hilário Ferreira,,Serraria,São José,SC,4216602,50304,,
88115650,Rua José João da Cunha,até 691/692,Serraria,São José,SC,4216602,50304,,
88115653,Servidão Paulo Goudel Hauptli,,Serraria,São José,SC,4216602,50304,,
88115655,Servidão Irineu João Duarte,,Serraria,São José,SC,4216602,50304,,
88115660,Rua João Izídio de Souza,,Serraria,São José,SC,4216602,50304,,
88115661,Travessa Belmonte,,Serraria,São José,SC,4216602,50304,,
88115662,Travessa Celso Ramos,,Serraria,São José,SC,4216602,50304,,
88115663,Travessa Garuva,,Serraria,São José,SC,4216602,50304,,
88115664,Travessa Itajaí,,Serraria,São José,SC,4216602,50304,,
88115665,Travessa Joaçaba,,Serraria,São José,SC,4216602,50304,,
88115666,Travessa Lages,,Serraria,São José,SC,4216602,50304,,
88115667,Travessa Laguna,,Serraria,São José,SC,4216602,50304,,
88115668,Travessa Mafra,,Serraria,São José,SC,4216602,50304,,
88115669,Travessa Monte Carlos,,Serraria,São José,SC,4216602,50304,,
88115670,Rua Vicente de Cursio,,Serraria,São José,SC,4216602,50304,,
88115671,Travessa Monte Castelo,,Serraria,São José,SC,4216602,50304,,
88115672,Travessa Navegantes,,Serraria,São José,SC,4216602,50304,,
88115673,Travessa Orleans,,Serraria,São José,SC,4216602,50304,,
88115674,Travessa Ouro Verde,,Serraria,São José,SC,4216602,50304,,
88115675,Rua Manoel Turíbio Rodrigues,,Serraria,São José,SC,4216602,50304,,
88115676,Travessa Petrolândia,,Serraria,São José,SC,4216602,50304,,
88115677,Travessa Porto Belo,,Serraria,São José,SC,4216602,50304,,
88115678,Travessa São Carlos,,Serraria,São José,SC,4216602,50304,,
88115679,Travessa Serra Alta,,Serraria,São José,SC,4216602,50304,,
88115680,Rua Pedro de Cursio,,Serraria,São José,SC,4216602,50304,,
88115681,Travessa Taió,,Serraria,São José,SC,4216602,50304,,
88115682,Travessa Timbó,,Serraria,São José,SC,4216602,50304,,
88115683,Travessa Tubarão,,Serraria,São José,SC,4216602,50304,,
88115684,Travessa Urubici,,Serraria,São José,SC,4216602,50304,,
88115685,Travessa Urussanga,,Serraria,São José,SC,4216602,50304,,
88115686,Travessa Xanxere,,Serraria,São José,SC,4216602,50304,,
88115687,Travessa Xaxim,,Serraria,São José,SC,4216602,50304,,
88115690,Rua José Eloi Damásio,,Serraria,São José,SC,4216602,50304,,
88115700,Rua Jacinto Damásio,,Serraria,São José,SC,4216602,50304,,
88115707,Servidão Ignês L. S. Cursio,,Serraria,São José,SC,4216602,50304,,
88115710,Rua Delfino José Souza Filho,,Serraria,São José,SC,4216602,50304,,
88115715,Praça João José Costa,,Serraria,São José,SC,4216602,50304,,
88115720,Servidão David dos Reis,,Serraria,São José,SC,4216602,50304,,
88115722,Servidão Cosme João Duarte,,Serraria,São José,SC,4216602,50304,,
88115730,Rua Bertolino João Sagais,,Serraria,São José,SC,4216602,50304,,
88115740,Servidão Francisco Rafael Rosa,,Serraria,São José,SC,4216602,50304,,
88115750,Servidão Eloi José Damásio,,Serraria,São José,SC,4216602,50304,,
88115760,Rua José Zimermann,até 386/387,Serraria,São José,SC,4216602,50304,,
88115765,Rua dos Crisântemos,,Serraria,São José,SC,4216602,50304,,
88115767,Rua das Bromélias,,Serraria,São José,SC,4216602,50304,,
88115768,Rua Jasmim,,Serraria,São José,SC,4216602,50304,,
88115770,Avenida das Margaridas,,Serraria,São José,SC,4216602,50304,,
88115774,Rua Rosas do Saron,,Serraria,São José,SC,4216602,50304,,
88115775,Rua dos Lírios,,Serraria,São José,SC,4216602,50304,,
88115776,Rua Flor de Maio,,Serraria,São José,SC,4216602,50304,,
88115777,Rua Flor de Lótus,,Serraria,São José,SC,4216602,50304,,
88115780,Rua Flor do Campo,,Serraria,São José,SC,4216602,50304,,
88115783,Rua Amor Perfeito,,Serraria,São José,SC,4216602,50304,,
88115785,Rua Vitória Régia,,Serraria,São José,SC,4216602,50304,,
88115787,Rua Dália,,Serraria,São José,SC,4216602,50304,,
88115790,Rua dos Cravos,,Serraria,São José,SC,4216602,50304,,
88115793,Rua das Açucenas,,Serraria,São José,SC,4216602,50304,,
88115795,Rua das Onze Horas,,Serraria,São José,SC,4216602,50304,,
88115800,Avenida Osvaldo José do Amaral,,Serraria,São José,SC,4216602,50304,,
88115805,Rua dos Vigilantes,,Serraria,São José,SC,4216602,50304,,
88115808,Rua das Primaveras,,Serraria,São José,SC,4216602,50304,,
88115810,Rua dos Cabeleireiros,,Serraria,São José,SC,4216602,50304,,
88115812,Rua dos Pedreiros,,Serraria,São José,SC,4216602,50304,,
88115814,Rua dos Eletrecistas,,Serraria,São José,SC,4216602,50304,,
88115816,Rua do Pé Roxo,,Serraria,São José,SC,4216602,50304,,
88115818,Rua dos Motoristas,,Serraria,São José,SC,4216602,50304,,
88115820,Rua dos Enfermeiros,,Serraria,São José,SC,4216602,50304,,
88115822,Rua dos Motociclistas,,Serraria,São José,SC,4216602,50304,,
88115825,Rua dos Outonos,,Serraria,São José,SC,4216602,50304,,
88115827,Rua dos Verões,,Serraria,São José,SC,4216602,50304,,
88117000,Avenida Leoberto Leal,até 806 - lado par,Barreiros,São José,SC,4216602,50296,,
88117001,Avenida Leoberto Leal,até 805 - lado ímpar,Barreiros,São José,SC,4216602,50296,,
88117005,Rua Eduardo de Andrade,,Barreiros,São José,SC,4216602,50296,,
88117010,Rua Eugênio Portela,,Barreiros,São José,SC,4216602,50296,,
88117011,Rua Antero de Assis,,Barreiros,São José,SC,4216602,50296,,
88117013,Rua Pintor Eduardo Dias,de 570/571 ao fim,Barreiros,São José,SC,4216602,50296,,
88117015,Travessa Erivaldo Fernandes Bezerra,,Barreiros,São José,SC,4216602,50296,,
88117017,Travessa Pedro Osvaldo Vicente,,Barreiros,São José,SC,4216602,50296,,
88117019,Rua João Augusto Sell,,Barreiros,São José,SC,4216602,50296,,
88117020,Rua Nossa Senhora Aparecida,de 205/206 a 629/630,Barreiros,São José,SC,4216602,50296,,
88117021,Rua Nossa Senhora Aparecida,de 631/632 a 916/917,Barreiros,São José,SC,4216602,50296,,
88117022,Rua Nossa Senhora Aparecida,de 918/919 ao fim,Barreiros,São José,SC,4216602,50296,,
88117030,Rua Marechal Rondon,,Barreiros,São José,SC,4216602,50296,,
88117033,Rua Eleutério da Silva Furtado,,Barreiros,São José,SC,4216602,50296,,
88117035,Rua Doutor Percy Borba,,Barreiros,São José,SC,4216602,50296,,
88117037,Rua Celso Bayma,de 500/501 ao fim (trecho anterior,Barreiros,São José,SC,4216602,50296,,
88117040,Rua Edelberto de Oliveira,,Barreiros,São José,SC,4216602,50296,,
88117045,Avenida Atlântica,de 650 ao fim - lado par,Barreiros,São José,SC,4216602,50296,,
88117050,Rua Genuino Pereira da Silva,de 476/477 ao fim,Barreiros,São José,SC,4216602,50296,,
88117060,Rua Porto Rico,,Barreiros,São José,SC,4216602,50296,,
88117100,Avenida Josué Di Bernardi,de 915 ao fim - lado ímpar,Campinas,São José,SC,4216602,50280,,
88117110,Avenida Farroupilha,,Campinas,São José,SC,4216602,50280,,
88117115,Rua Pedro Paulo Kretzer,,Campinas,São José,SC,4216602,50280,,
88117120,Rua Teodoro da Silva,,Campinas,São José,SC,4216602,50280,,
88117125,Rua Juscelino Kubitschek,,Campinas,São José,SC,4216602,50280,,
88117130,Rua Wilson Menezes,,Campinas,São José,SC,4216602,50280,,
88117132,Rua Adão Schmidt,de 1601/1602 ao fim,Campinas,São José,SC,4216602,50280,,
88117134,Rua Coronel Américo,de 1573/1574 ao fim,Campinas,São José,SC,4216602,50280,,
88117136,Rua São Ludgero,de 1581/1582 ao fim,Campinas,São José,SC,4216602,50280,,
88117140,Rua Antônio Manoel da Silva,,Campinas,São José,SC,4216602,50280,,
88117200,Rua Domingos André Zanini,,Campinas,São José,SC,4216602,50280,,
88117210,Rua João José Souza,até 652/653,Barreiros,São José,SC,4216602,50296,,
88117211,Rua João José Souza,de 654/655 ao fim,Barreiros,São José,SC,4216602,50296,,
88117215,Rua Peru,,Barreiros,São José,SC,4216602,50296,,
88117220,Rua Bom Jesus,,Barreiros,São José,SC,4216602,50296,,
88117222,Servidão Manoel Camilo Madalena,,Barreiros,São José,SC,4216602,50296,,
88117225,Rua Colômbia,,Barreiros,São José,SC,4216602,50296,,
88117230,Rua México,,Barreiros,São José,SC,4216602,50296,,
88117235,Rua Chile,,Barreiros,São José,SC,4216602,50296,,
88117240,Rua Guatemala,,Barreiros,São José,SC,4216602,50296,,
88117248,Rua Canadá,,Barreiros,São José,SC,4216602,50296,,
88117250,Rua Moura,,Barreiros,São José,SC,4216602,50296,,
88117252,Rua Bento Antônio Constantino Rosa,,Barreiros,São José,SC,4216602,50296,,
88117255,Travessa Rosalina Schell de Souza,,Barreiros,São José,SC,4216602,50296,,
88117260,Rua Adão Schmidt,até 1208/1209,Barreiros,São José,SC,4216602,50296,,
88117261,Rua Adão Schmidt,de 1210/1211 a 1599/1600,Barreiros,São José,SC,4216602,50296,,
88117270,Rua São Ludgero,até 1579/1580,Barreiros,São José,SC,4216602,50296,,
88117280,Rua Doutor Miguel de Patta,,Barreiros,São José,SC,4216602,50296,,
88117290,Rua Gerôncio Thives,até 406/407,Barreiros,São José,SC,4216602,50296,,
88117291,Rua Gerôncio Thives,de 408/409 a 579/580,Barreiros,São José,SC,4216602,50296,,
88117292,Rua Gerôncio Thives,de 581/582 ao fim,Barreiros,São José,SC,4216602,50296,,
88117310,Rua Coronel Américo,até 1149/1150,Barreiros,São José,SC,4216602,50296,,
88117311,Rua Coronel Américo,de 1151/1152 a 1571/1572,Barreiros,São José,SC,4216602,50296,,
88117320,Servidão Passos Filho,,Barreiros,São José,SC,4216602,50296,,
88117330,Rua Manoel Loureiro,até 1014/1015,Barreiros,São José,SC,4216602,50296,,
88117331,Rua Manoel Loureiro,de 1016/1017 ao fim,Barreiros,São José,SC,4216602,50296,,
88117333,Rua Almerinda Emília Fagundes Bento,,Barreiros,São José,SC,4216602,50296,,
88117335,Rua Pedro Gregório,,Barreiros,São José,SC,4216602,50296,,
88117336,Rua José de Lyra Telles,,Barreiros,São José,SC,4216602,50296,,
88117337,Rua Lourival Godinho,,Barreiros,São José,SC,4216602,50296,,
88117338,Rua Laudelino Souza Filho,,Barreiros,São José,SC,4216602,50296,,
88117340,Rua Saldanha da Gama,,Barreiros,São José,SC,4216602,50296,,
88117345,Rua Xangrilá,,Barreiros,São José,SC,4216602,50296,,
88117350,Rua Santo Antônio,até 956/957,Barreiros,São José,SC,4216602,50296,,
88117351,Rua Santo Antônio,de 958/959 ao fim,Barreiros,São José,SC,4216602,50296,,
88117360,Rua São Judas Tadeu,,Barreiros,São José,SC,4216602,50296,,
88117370,Rua Ângelo Girardi,,Barreiros,São José,SC,4216602,50296,,
88117385,Rua Antônio Francisco Bastos,,Barreiros,São José,SC,4216602,50296,,
88117390,Rua Rodolfo Pamplona,,Barreiros,São José,SC,4216602,50296,,
88117400,Rua Sebastião Furtado Pereira,,Barreiros,São José,SC,4216602,50296,,
88117402,Rua Francisco Pedro Machado,,Barreiros,São José,SC,4216602,50296,,
88117405,Rua José Victor da Rosa,,Barreiros,São José,SC,4216602,50296,,
88117410,Rua Mar Del Plata,,Barreiros,São José,SC,4216602,50296,,
88117420,Rua São Cristóvão,,Barreiros,São José,SC,4216602,50296,,
88117423,Rua Alceu Miguel Schlichting,,Barreiros,São José,SC,4216602,50296,,
88117425,Rua Manoel Cândido Ferreira,,Barreiros,São José,SC,4216602,50296,,
88117430,Rua Domingos Romão,,Barreiros,São José,SC,4216602,50296,,
88117440,Rua João Manoel Bittencourt,,Barreiros,São José,SC,4216602,50296,,
88117450,Rua Matias Kabuchi,,Barreiros,São José,SC,4216602,50296,,
88117451,Rua Laurival Vieira,,Barreiros,São José,SC,4216602,50296,,
88117452,Rua Edio Antônio dos Santos,,Barreiros,São José,SC,4216602,50296,,
88117453,Servidão Julia Rosa Conrradi,,Barreiros,São José,SC,4216602,50296,,
88117460,Rua Santa Isabel,,Barreiros,São José,SC,4216602,50296,,
88117465,Rua Paraíso,,Barreiros,São José,SC,4216602,50296,,
88117467,Rua Álvaro Pedro Gregório,,Barreiros,São José,SC,4216602,50296,,
88117470,Travessa Elisa Andreoli,,Barreiros,São José,SC,4216602,50296,,
88117473,Servidão João Guilherme Brockveld,,Barreiros,São José,SC,4216602,50296,,
88117490,Rua Gregório Felipe,,Barreiros,São José,SC,4216602,50296,,
88117500,Rodovia BR-101,"do km 204,001 ao km 204,999 - lado",Nossa Senhora do Rosário,São José,SC,4216602,50295,,
88117600,Rua Capitão Pedro Leite,,Barreiros,São José,SC,4216602,50296,,
88117603,Travessa José Ramiro da Silva,,Barreiros,São José,SC,4216602,50296,,
88117605,Rua Júlia N. de Andrade,,Barreiros,São José,SC,4216602,50296,,
88117607,Travessa Nelson Gonçalves,,Barreiros,São José,SC,4216602,50296,,
88117610,Rua Servas de Maria Reparadora,,Barreiros,São José,SC,4216602,50296,,
88117612,Rua Neoci Machado,,Barreiros,São José,SC,4216602,50296,,
88117615,Rua Vereadora Iracema de Andrade,,Barreiros,São José,SC,4216602,50296,,
88117620,Rua Madre Flávia Andretti,,Barreiros,São José,SC,4216602,50296,,
88117630,Servidão Tolentino Hoffmann,,Barreiros,São José,SC,4216602,50296,,
88117640,Rua Nelson Silva,,Barreiros,São José,SC,4216602,50296,,
88117650,Rua Hermes,,Barreiros,São José,SC,4216602,50296,,
88117655,Servidão Hermes,,Barreiros,São José,SC,4216602,50296,,
88117700,Rua Virgilino Ferreira de Souza,,Barreiros,São José,SC,4216602,50296,,
88117703,Rua João Batista da Silva,,Barreiros,São José,SC,4216602,50296,,
88117706,Rua Trinta e Um de Março,,Barreiros,São José,SC,4216602,50296,,
88117710,Rua Catarina Meira dos Santos,,Barreiros,São José,SC,4216602,50296,,
88117720,Rua Aroldo Rios,,Barreiros,São José,SC,4216602,50296,,
88117730,Rua Machado de Assis,,Barreiros,São José,SC,4216602,50296,,
88117735,Rua Tenente Caminha,,Barreiros,São José,SC,4216602,50296,,
88117750,Rua Fúlvio Vieira da Rosa,,Barreiros,São José,SC,4216602,50296,,
88117751,Rua Amélia Novais de Andrade,,Barreiros,São José,SC,4216602,50296,,
88117760,Rua Marlei Geraldo dos Santos,,Barreiros,São José,SC,4216602,50296,,
88117850,Rua do Iano,até 642/643,Barreiros,São José,SC,4216602,50296,,
88117855,Travessa Terceiro-Sargento-Aeronáutica Paulo Roberto Coelho,,Barreiros,São José,SC,4216602,50296,,
88117860,Rua Nabor Joaquim de Souza,,Barreiros,São José,SC,4216602,50296,,
88117900,Rua Gerôncio Thives 1079,,Barreiros,São José,SC,4216602,50296,,
88117959,Avenida Leoberto Leal 498,,Barreiros,São José,SC,4216602,50296,,
88117972,Avenida Leoberto Leal 498,,Barreiros,São José,SC,4216602,50296,,
88119000,Rua Vereador Arthur Mariano,,Potecas,São José,SC,4216602,50292,,
88119004,Servidão Miguel Arcanjo Machado,,Potecas,São José,SC,4216602,50292,,
88119008,Rua Kiliano Hames,,Potecas,São José,SC,4216602,50292,,
88119012,Servidão Nelo,,Potecas,São José,SC,4216602,50292,,
88119042,Servidão João Francisco Gaspar,,Potecas,São José,SC,4216602,50292,,
88119057,Rua Valdir José Mariano,,Potecas,São José,SC,4216602,50292,,
88119058,Rua Valdemiro Eli,,Potecas,São José,SC,4216602,50292,,
88119060,Rua Manoel Ernesto Amandio,,Potecas,São José,SC,4216602,50292,,
88119075,Rua Amália Klauman de Souza,,Potecas,São José,SC,4216602,50292,,
88119090,Rua Docilicio Luz,,Potecas,São José,SC,4216602,50292,,
88119093,Rua Nelson Inácio dos Santos,,Potecas,São José,SC,4216602,50292,,
88119096,Rua Luiz Carlos Habkost,,Potecas,São José,SC,4216602,50292,,
88119098,Rua Sagrado Coração de Jesus,,Potecas,São José,SC,4216602,50292,,
88119100,Servidão Goncílio Antônio Martins,,Potecas,São José,SC,4216602,50292,,
88119108,Rua Hercílio Alves,,Potecas,São José,SC,4216602,50292,,
88119114,Rua Bela Vista,,Potecas,São José,SC,4216602,50292,,
88119117,Rua Vale Sedron,,Potecas,São José,SC,4216602,50292,,
88119120,Rua Eucalipto,,Potecas,São José,SC,4216602,50292,,
88119122,Rua José Amaro da Cunha,,Potecas,São José,SC,4216602,50292,,
88119123,Rua Figueira,,Potecas,São José,SC,4216602,50292,,
88119126,Rua Jaborandi,,Potecas,São José,SC,4216602,50292,,
88119129,Rua Cyrino Justino da Silva,,Potecas,São José,SC,4216602,50292,,
88119140,Rua Manoel José da Cunha,,Potecas,São José,SC,4216602,50292,,
88119143,Rua Vale Verde,,Potecas,São José,SC,4216602,50292,,
88119146,Rua dos Córregos,,Potecas,São José,SC,4216602,50292,,
88119149,Rua das Pedras,,Potecas,São José,SC,4216602,50292,,
88119152,Rua do Campo,,Potecas,São José,SC,4216602,50292,,
88119170,Rua Carlos Alberto Hulk,,Potecas,São José,SC,4216602,50292,,
88119173,Rua Maria Rosalina Lúcio,,Potecas,São José,SC,4216602,50292,,
88119176,Rua Jatobá,,Potecas,São José,SC,4216602,50292,,
88119179,Rua Aroeira,,Potecas,São José,SC,4216602,50292,,
88119182,Rua Seringueira,,Potecas,São José,SC,4216602,50292,,
88119185,Rua Cambuí,,Potecas,São José,SC,4216602,50292,,
88119187,Rua Sapucaia,,Potecas,São José,SC,4216602,50292,,
88119188,Rua Angelin,,Potecas,São José,SC,4216602,50292,,
88119191,Rua Jacarandá,,Potecas,São José,SC,4216602,50292,,
88119192,Rua Jurubeba,,Potecas,São José,SC,4216602,50292,,
88119194,Rua Urucum,,Potecas,São José,SC,4216602,50292,,
88119230,Servidão Souza,,Potecas,São José,SC,4216602,50292,,
88119240,Rua Valdemiro Manoel Vieira,,Potecas,São José,SC,4216602,50292,,
88119252,Rua Antônio Francisco Duarte,,Potecas,São José,SC,4216602,50292,,
88119255,Rua Angelina Fonseca Venozo,,Potecas,São José,SC,4216602,50292,,
88119258,Rua Euclides Laudelino da Silva,,Potecas,São José,SC,4216602,50292,,
88119261,Rua Elias Tomaz Cardoso,,Potecas,São José,SC,4216602,50292,,
88119264,Rua Maria Aleutéria da Silva,,Potecas,São José,SC,4216602,50292,,
88119267,Rua Tomaz Pedro Cardoso,,Potecas,São José,SC,4216602,50292,,
88119270,Rua José Manoel do Nascimento,,Potecas,São José,SC,4216602,50292,,
88119273,Rua José Antônio Pereira,,Potecas,São José,SC,4216602,50292,,
88119290,Rua Francisco Torquato da Rosa,,Potecas,São José,SC,4216602,50292,,
88119293,Rua Argentina,,Potecas,São José,SC,4216602,50292,,
88119297,Rua Soledar Argentina de Souza Duarte,,Potecas,São José,SC,4216602,50292,,
88119299,Rua Francisco Assis do Vale,,Potecas,São José,SC,4216602,50292,,
88119302,Rua dos Poetas,,Potecas,São José,SC,4216602,50292,,
88119305,Rua dos Compositores,,Potecas,São José,SC,4216602,50292,,
88119308,Rua dos Escritores,,Potecas,São José,SC,4216602,50292,,
